L_001QTQ	145.88	158.85	171.82	91.83	600
L_0026SF	566.55	775.00	983.45	73.10	597
L_005JJR	110.98	139.15	167.32	79.76	142
L_0077RV	15.67	307.00	598.33	5.10	1541
L_0078PG	739.86	1256.10	1772.34	58.90	439
L_009642	994.51	1497.85	2001.19	66.40	340
L_009V4C	492.35	773.30	1054.25	63.67	241
L_00BL1X	32.45	120.00	207.55	27.04	402
L_00BLZ5	6.27	651.20	1296.13	0.96	260
L_00CL8T	661.60	836.70	1011.80	79.07	265
L_00KYTL	206.92	392.10	577.28	52.77	295
L_00Q19P	23.29	86.60	149.91	26.90	548
L_00R976	57.56	352.00	646.44	16.35	532
L_00SH5X	1310.26	1470.60	1630.94	89.10	198
L_00SSZX	772.44	975.70	1178.96	79.17	247
L_00ZB90	247.00	1205.80	2164.60	20.48	264
L_00ZBZ3	458.00	560.00	662.00	81.79	119
L_00ZD4P	402.26	424.65	447.04	94.73	118
L_01184T	14.62	144.20	273.78	10.14	991
L_014SG2	714.94	764.90	814.86	93.47	117
L_017NJR	64.12	255.75	447.38	25.07	152
L_018Y67	753.65	868.55	983.45	86.77	166
L_01CW53	744.85	802.00	859.15	92.87	282
L_01CXNW	202.09	393.20	584.31	51.40	169
L_01FS7B	522.69	602.90	683.11	86.70	157
L_01G6L5	810.13	936.30	1062.47	86.52	171
L_01JXLC	70.00	195.50	321.00	35.80	84
L_01KHS4	46.59	237.10	427.61	19.65	137
L_01QPBW	58.51	281.20	503.89	20.81	547
L_01SD0S	1104.70	1503.15	1901.60	73.49	132
L_01T382	389.01	468.85	548.69	82.97	160
L_01TN5P	-51.37	202.60	456.57	-25.36	46
L_01V4H4	752.74	858.30	963.86	87.70	120
L_01VZDS	-32.90	363.40	759.70	-9.05	197
L_025FRV	110.78	147.40	184.02	75.16	93
L_027396	559.94	614.80	669.66	91.08	148
L_0281NZ	835.84	999.30	1162.76	83.64	148
L_028LPL	1051.24	1425.30	1799.36	73.76	227
L_02B2NT	395.03	418.90	442.77	94.30	137
L_02DV04	750.05	856.50	962.95	87.57	157
L_02FWYN	-105.46	340.80	787.06	-30.95	115
L_02GKW1	653.83	682.30	710.77	95.83	151
L_02JKL2	574.05	606.00	637.95	94.73	112
L_02KNL1	217.10	217.10	217.10	100.00	140
L_02LHC8	23.15	203.95	384.75	11.35	46
L_02LLS3	226.30	243.20	260.10	93.05	217
L_02NY6D	278.60	482.90	687.20	57.69	149
L_02QXLV	476.88	669.25	861.62	71.26	178
L_02V355	674.08	721.15	768.22	93.47	172
L_02W937	614.57	1289.00	1963.43	47.68	181
L_02W9L4	724.17	849.60	975.03	85.24	139
L_02Y0P0	1251.45	1539.00	1826.55	81.32	154
L_02Y6NY	494.55	592.40	690.25	83.48	149
L_02ZLX0	760.46	804.20	847.94	94.56	107
L_030D6S	748.52	799.45	850.38	93.63	60
L_030HTZ	352.87	963.40	1573.93	36.63	183
L_031RY6	36.99	96.15	155.31	38.48	60
L_031SBR	395.78	457.60	519.42	86.49	137
L_03479X	1097.65	1250.80	1403.95	87.76	67
L_034CXV	97.45	231.55	365.65	42.09	130
L_034KHF	1141.92	1307.75	1473.58	87.32	158
L_0387VJ	554.73	591.65	628.57	93.76	88
L_038PV2	365.07	503.40	641.73	72.52	131
L_03DJJZ	415.01	449.55	484.09	92.32	124
L_03GJ2S	381.42	626.20	870.98	60.91	149
L_03GMLV	994.59	1015.20	1035.81	97.97	43
L_03H33C	758.17	794.20	830.23	95.46	124
L_03L225	58.55	245.80	433.05	23.82	111
L_0402VZ	592.35	1269.60	1946.85	46.66	145
L_042YT3	81.58	143.40	205.22	56.89	149
L_046XWV	1236.83	2257.30	3277.77	54.79	133
L_04B60R	293.75	325.40	357.05	90.27	122
L_04DJ3T	33.50	135.50	237.50	24.72	15
L_04N1VR	724.18	845.75	967.32	85.63	96
L_04P6L7	100.20	393.90	687.60	25.44	164
L_04SVQ0	282.12	304.80	327.48	92.56	93
L_04WL0B	97.20	280.30	463.40	34.68	107
L_04ZWHG	762.59	838.80	915.01	90.91	162
L_050F80	91.28	255.70	420.12	35.70	49
L_051F3R	407.97	605.90	803.83	67.33	157
L_0533N1	313.26	322.60	331.94	97.10	129
L_055Z3C	900.61	1059.10	1217.59	85.04	99
L_05D23G	552.54	741.65	930.76	74.50	106
L_05HDPY	152.56	166.50	180.44	91.63	106
L_05L4ZT	837.70	914.80	991.90	91.57	115
L_05MBQQ	371.09	399.70	428.31	92.84	108
L_05P63V	475.73	989.45	1503.17	48.08	138
L_05R9YK	242.41	269.10	295.79	90.08	119
L_05YM8W	510.08	574.35	638.62	88.81	136
L_066YP7	1014.48	1115.15	1215.82	90.97	112
L_06B0LX	62.65	115.80	168.95	54.10	82
L_06B4LT	549.89	638.70	727.51	86.10	111
L_06GBCV	599.83	708.50	817.17	84.66	159
L_06HBRN	954.28	965.70	977.12	98.82	97
L_06HBZC	533.02	724.20	915.38	73.60	128
L_06HS3T	86.66	92.15	97.64	94.05	104
L_06HWZV	1044.92	1272.35	1499.78	82.13	144
L_06J480	983.36	1175.50	1367.64	83.65	142
L_06KBYR	136.40	170.20	204.00	80.14	108
L_06LDTV	416.68	453.00	489.32	91.98	94
L_06LX84	637.45	1097.80	1558.15	58.07	103
L_06M2J5	-18.72	541.85	1102.42	-3.46	92
L_06P141	368.00	449.10	530.20	81.94	67
L_06PBBJ	808.58	853.50	898.42	94.74	110
L_06QG3Q	637.13	695.10	753.07	91.66	97
L_06S6JL	588.52	697.05	805.58	84.43	100
L_06S7RH	451.77	568.15	684.53	79.52	112
L_06SK9S	12.60	98.00	183.40	12.86	79
L_06V9P9	125.47	131.40	137.33	95.49	84
L_06VPND	284.87	303.85	322.83	93.75	108
L_06XZ12	366.66	501.35	636.04	73.13	168
L_06ZJTN	378.34	701.40	1024.46	53.94	125
L_06ZKHN	623.16	683.50	743.84	91.17	113
L_06ZZ96	593.82	847.20	1100.58	70.09	123
L_0720QV	758.37	811.60	864.83	93.44	98
L_072DJM	333.14	349.60	366.06	95.29	53
L_074V7Y	97.62	346.40	595.18	28.18	233
L_076C24	26.68	97.70	168.72	27.31	92
L_076KCF	783.43	1288.40	1793.37	60.81	185
L_0770FP	705.50	790.30	875.10	89.27	101
L_0778FN	749.73	1272.20	1794.67	58.93	135
L_07CKV6	83.72	276.90	470.08	30.23	206
L_07FHWC	2106.44	2621.20	3135.96	80.36	103
L_07GVYS	37.28	143.80	250.32	25.92	50
L_07LHCJ	515.83	548.60	581.37	94.03	105
L_07QLMK	166.91	180.40	193.89	92.52	82
L_07RDJ7	110.16	230.10	350.04	47.87	61
L_07S946	807.88	891.50	975.12	90.62	131
L_07SZ6Y	803.41	896.00	988.59	89.67	102
L_07T6NZ	566.77	583.00	599.23	97.22	84
L_07VF22	104.54	542.80	981.06	19.26	127
L_07XDGB	28.69	163.90	299.11	17.50	99
L_07Z9VQ	451.31	510.10	568.89	88.48	88
L_082XXV	577.34	619.00	660.66	93.27	93
L_08691K	1289.88	1527.10	1764.32	84.47	99
L_086DR9	-5.25	152.65	310.55	-3.44	72
L_088F6J	5.73	72.45	139.17	7.91	126
L_088V31	632.14	663.05	693.96	95.34	84
L_089TM5	464.08	501.00	537.92	92.63	105
L_08C7J9	742.77	808.00	873.23	91.93	109
L_08D0LK	508.01	555.75	603.49	91.41	112
L_08D1TB	983.64	1095.35	1207.06	89.80	72
L_08FRMP	886.32	990.10	1093.88	89.52	100
L_08HGD8	1691.74	1942.30	2192.86	87.10	124
L_08J0FD	403.71	447.30	490.89	90.26	67
L_08NZM3	562.95	791.05	1019.15	71.17	120
L_08P5XZ	-6.59	113.50	233.59	-5.81	190
L_08Q219	216.21	402.65	589.09	53.70	106
L_08QR4C	524.46	572.50	620.54	91.61	90
L_08RYYJ	127.51	222.10	316.69	57.41	75
L_08SNPR	214.24	364.20	514.16	58.82	110
L_08WV7S	728.72	1047.40	1366.08	69.57	118
L_08X0JD	539.46	548.80	558.14	98.30	92
L_08XN7X	-79.02	856.50	1792.02	-9.23	131
L_08XP6F	29.47	125.10	220.73	23.56	323
L_08ZGGF	102.49	915.40	1728.31	11.20	133
L_090FQQ	427.86	462.70	497.54	92.47	85
L_092M8D	729.65	874.80	1019.95	83.41	97
L_092QM6	676.46	784.10	891.74	86.27	90
L_0933X7	145.78	156.60	167.42	93.09	103
L_093P2X	96.43	111.55	126.67	86.44	112
L_094N9R	470.89	512.70	554.51	91.85	73
L_0977B6	188.32	236.50	284.68	79.63	105
L_0979NT	999.74	1267.35	1534.96	78.88	102
L_09LYMH	39.58	342.55	645.52	11.55	116
L_09MQ0T	-56.45	773.95	1604.35	-7.29	124
L_09QZT5	721.00	776.15	831.30	92.89	90
L_09RBXJ	495.78	566.20	636.62	87.56	85
L_09V46L	204.75	718.55	1232.35	28.50	46
L_09V8TQ	435.13	512.60	590.07	84.89	82
L_09WLVT	295.41	343.30	391.19	86.05	85
L_09XPZ8	503.54	720.30	937.06	69.91	103
L_09ZFB7	955.83	1418.85	1881.87	67.37	98
L_09ZY7S	14.73	51.35	87.97	28.69	346
L_0B03NV	492.76	561.40	630.04	87.77	84
L_0B0G55	868.86	950.40	1031.94	91.42	91
L_0B1X2D	486.36	527.35	568.34	92.23	52
L_0B267T	43.42	134.90	226.38	32.19	19
L_0B36DP	315.25	353.95	392.65	89.07	82
L_0B4XSX	509.72	553.60	597.48	92.07	87
L_0B4XSY	430.72	474.90	519.08	90.70	71
L_0B7VYN	551.72	628.00	704.28	87.85	76
L_0B97R8	572.41	630.60	688.79	90.77	102
L_0BH960	632.48	712.10	791.72	88.82	81
