fam_ID__	seq_ct	present	below	equal	above	glyma	phavu	vigan	vigra	vigun	cajca	medtr	cicar	tripr	lotja	lupan	aradu	araip	arahy
L_001QTQ	999	7	8	0	6	87	0	0	0	0	40	0	0	37	1	0	189	187	458	
L_0026SF	987	9	6	2	6	0	3	2	2	0	80	0	0	4	1	0	376	456	63	
L_005JJR	694	7	8	0	6	4	0	0	0	0	441	117	0	91	35	1	0	0	5	
L_0077RV	703	13	2	2	10	2	0	38	5	1	283	12	85	243	3	15	7	7	2	
L_0078PG	519	11	4	2	8	0	0	28	3	0	233	6	151	87	2	2	3	1	3	
L_009642	803	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	214	272	317	
L_009V4C	696	2	12	0	2	0	0	0	0	0	0	0	0	0	0	0	309	387	0	
L_00BL1X	682	14	1	7	6	3	2	2	1	2	2	3	651	3	3	2	2	2	4	
L_00BLZ5	419	9	7	0	7	235	0	0	0	0	5	10	0	38	29	1	42	58	1	
L_00CL8T	477	14	4	0	10	3	1	31	11	1	341	9	7	24	1	1	3	11	33	
L_00KYTL	592	13	2	0	12	128	27	4	7	77	66	77	26	8	31	21	0	1	119	
L_00Q19P	583	5	11	2	1	1	0	0	0	2	0	0	577	0	0	0	1	0	2	
L_00R976	518	7	7	0	7	66	0	0	0	6	20	0	0	4	0	0	114	109	199	
L_00SH5X	489	13	2	0	12	36	6	0	1	10	14	79	43	8	39	7	32	66	148	
L_00SSZX	445	11	4	1	9	70	3	0	0	32	0	54	2	19	11	1	74	119	60	
L_00ZB90	383	8	6	0	8	72	0	0	0	0	15	4	0	25	3	0	68	96	100	
L_00ZBZ3	325	8	8	0	6	1	3	34	1	0	170	15	0	43	0	0	0	0	58	
L_00ZD4P	440	14	0	2	12	38	5	5	4	13	20	61	2	14	62	2	48	56	110	
L_01184T	391	13	1	3	10	6	37	9	2	0	13	3	4	20	4	2	137	152	2	
L_014SG2	373	8	7	1	6	7	0	0	0	0	10	1	0	5	2	0	86	94	168	
L_017NJR	412	11	6	1	7	21	3	10	1	0	348	1	1	12	4	2	0	0	9	
L_018Y67	388	11	3	2	9	3	2	76	2	32	0	47	3	7	14	0	76	126	0	
L_01CW53	368	14	1	1	12	63	13	5	2	34	20	119	4	9	25	1	12	22	39	
L_01CXNW	350	11	5	3	6	2	4	1	0	0	7	1	4	7	0	2	145	175	2	
L_01FS7B	338	10	5	1	8	30	8	0	0	2	0	94	1	44	49	0	36	27	47	
L_01G6L5	283	12	3	2	9	30	8	9	1	0	86	2	2	41	16	0	36	40	12	
L_01JXLC	276	6	9	0	5	0	0	10	0	0	203	0	43	15	1	4	0	0	0	
